Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Ghana,GHA,Access to electricity (% of population),EG.ELC.ACCS.ZS,70.7,78.3,74,79.3,79,80.4,83.5,85.4,86.3
Nigeria,NGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,55.6,54.2,52.5,59.3,54.4,56.5,55.4,55.4,59.5
Senegal,SEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,57,61,60.5,64.5,61.7,66,70.4,64.3,68
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,
Last Updated: 04/08/2026,,,,,,,,,,,,
